student_id,timestamp,task,model,student_story,teacher_story,model_output,perplexity,ave_conf,rouge1,rouge2,rougeL,rougeLsum,bleu,bertscore_P,bertscore_R,bertscore_F1,sbert_cosine
0,2025-10-18T02:00:28,generate_all,gpt-4o,"Uh.  A few weeks ago, uh, this boy want to swim in the - uh, swim in the ocean. But he found that he don't have enough mon - money for that. Then, he found a notice that wanted staff.  He want to be a staff to earn more money. And he become the staff and gets through a hard working. He get enough money  to swim in the ocean.  He was very happy.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"The young man dreamt of a sunny beach vacation with friends.

But he realized he didn’t have enough money for his trip.

Discovering a ""Staff Wanted"" sign, he saw an opportunity to earn.

He started working diligently, helping customers with a smile.

Finally, he received his paycheck, excited for what it meant.

With the money saved, he happily spent a day at the beach.",,0.7081966509729729,0.4171779141104294,0.07547169811320754,0.2331288343558282,0.3067484662576687,0.0835678962221183,0.6138067245483398,0.585818350315094,0.5828527212142944,0.6421524286270142
1,2025-10-18T02:01:04,generate_all,gpt-4o,"﻿A few weeks ago, a man wanted swimming in the sea and then he found his wallet doesn't have any money. And so he held on the street.
He wants to find some ways to get money.
Suddenly---
---he saw a picture on the wall.
There is writing it 'Staff Wanted'.
About electrical good sales. And then he offer the job.
He become a staff in supermarket.
He sell - his jobs is to selling, um, um, what it is?  Computer.
Yeah and he is good at selling.
He has a lot of - he has a lot of customers. Um, most lately---
He get his first pages. Finally, he strength is come to.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"He daydreamed of a sunny beach day with friends.

However, he soon realized his wallet was empty.

Walking by a shop, he noticed a ""Staff Wanted"" sign.

Excited, he applied and was hired to sell electronics.

His efforts paid off, and he received his first paycheck.

With his savings, he finally enjoyed a fun day at the beach.",1.5658228982998001,0.7688432248422112,0.3717948717948718,0.0909090909090909,0.24358974358974358,0.25641025641025644,0.10956105896941096,0.633705735206604,0.5689443349838257,0.585864782333374,0.6318313479423523
2,2025-10-18T02:01:44,generate_all,gpt-4o," And - but he - he wants to travel maybe and he doesn't - he realized he doesn't have the money so accidentally he just saw a advertisement or notice about the staff wanted and he decided to - to apply for that job to get money.  And then he went - and then he went to do the part-time job, and he works as a sale assistant in a computer shop I think, electronic devices shop.  And then, uh - and then maybe after 1 month, he finally got his money. Then he - he - he - he - he - he gets the enough money to go travel with his friends, with his family.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"Dreaming of a beach holiday with friends, he imagines the warm sand and ocean waves.

Checking his wallet, he realizes he doesn't have enough money for the trip.

Spotting a ""Staff Wanted"" sign, he eagerly decides to apply for a job.

Working as a sales assistant, he helps customers find electronics in the store.

Excitedly receiving his first paycheck, he feels closer to his dream vacation.

With enough money saved, he finally enjoys a fun day at the beach with friends.",1.6241113260373297,0.7684138420131633,0.4222222222222223,0.06741573033707865,0.24444444444444444,0.2888888888888889,0.0,0.6196819543838501,0.5843815207481384,0.5780279040336609,0.5384758114814758
3,2025-10-18T02:02:21,generate_all,gpt-4o,"A few weeks ago, a man went to tour, but they have no money, ... eh, and then he looked at the, uh, ... this so what - staff wanted. Um, so he bought - he bought - for the money, he went to the stop and sell the stamp - uh, sell the furnitures.  Then, he got the money, uh, so he had enough money to go to - to go to the tour and swim happily.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"He daydreamed about a sunny day at the beach with friends.

But his excited plans hit a snag when he found his wallet empty.

Suddenly, he noticed a job advertisement at a local store.

He applied for the job and quickly familiarized himself with the work.

His efforts paid off as he happily received his first paycheck.

With the money he earned, he finally fulfilled his dream of enjoying a day at the beach.",,,0.3488372093023256,0.08235294117647057,0.23255813953488372,0.2790697674418604,0.08098889044023294,0.6161322593688965,0.5664357542991638,0.5751828551292419,0.6487079858779907
4,2025-10-18T02:02:56,generate_all,gpt-4o,"A man, a man, okay.  Uh, a few weeks ago, a man go to playing in the sea, um, it's not far away from his home  um, but unfortunately he lost his, um, money in the sea and then now he is very poor, uh, uh, and the - then he see a, um, staff wanted, uh, advertisement, uh, and then he became the staff, um, in the - how to say - a computer - in a computer - how to say - XXX  in English. Yes. XXX  and then he work in a com - computer shop. Um, after 1 month work he get the salary  and the - then he can go to the sea for playing again.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"The man daydreams about a fun day at the beach with friends, enjoying the sun and waves.

He realizes his wallet is empty, feeling discouraged about his financial situation.

Spotting a ""Staff Wanted"" sign, he sees an opportunity to turn things around.

Excitedly, he starts working at a computer store, learning new skills with a smile.

After a month of hard work, he joyfully receives his first paycheck, feeling accomplished.

With his savings, he returns to the sea, laughing and playing with friends once more.",1.5737319140285704,0.7796012176611221,0.29508196721311475,0.044198895027624314,0.19672131147540983,0.22950819672131145,0.0,0.5609989166259766,0.547913670539856,0.5367803573608398,0.4752339720726013
5,2025-10-18T02:03:51,generate_all,gpt-4o,"A few weeks ago, one man went to swim. He, uh, he lost his money.  And he - and he had money - um, he can't - he - he couldn't come back.  So, he - he found - he found a part-time job as a - as a seller - seller. And - and - um, and firstly, he got his XXX .  He - he got his salary.  Oh, come back Japan.  XXX .
Oh, it's okay.  Oh, um - and - and he - he could - he - he could go on his trip - his trip.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"He daydreamed about a fun beach vacation with his friends.

Checking his wallet, he realized he was out of money.

Spotting a ""Staff Wanted"" sign, he knew this was an opportunity.

He started working at a store, eagerly learning from his coworker.

With his first paycheck in hand, he felt relieved and excited.

Finally, he was able to join his friends on the beach, enjoying the sunshine.",,,0.4,0.09815950920245399,0.2545454545454545,0.30303030303030304,0.0693575618512032,0.5875073671340942,0.5638960599899292,0.5531968474388123,0.6328902244567871
6,2025-10-18T02:04:32,generate_all,gpt-4o,"A few weeks - a few weeks ago, a boy want to swimming in the sea. But he didn't have the enough money.   He - one day he - he - he saw a advertisement in the - in the wall, some - some staff wanted.He have a idea. He can - he can sell his computer to the customers and they will give the money.  So he - he got the enough money and  he swimming in the sea with her friends happily.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"Daydreaming about a beach day with friends, he imagined the fun they would have swimming and playing under the sun.

Checking his wallet, he felt discouraged as he realized it was empty, leaving his beach plans on hold.

Noticing a ""Staff Wanted"" sign, he had an idea that might solve his money problem.

He started working at a store, learning to assist customers, hoping to save enough money quickly.

Excitedly counting his earnings, he realized he finally had enough money for his beach trip.

With joy, he and his friends enjoyed a perfect day swimming and laughing in the sea.",1.872811037180144,0.6829128001636594,0.4343434343434343,0.08163265306122448,0.24242424242424243,0.3333333333333333,0.0,0.5770600438117981,0.5736297965049744,0.5583773255348206,0.49822938442230225
7,2025-10-18T02:05:06,generate_all,gpt-4o,"Uh, a few weeks ago, the boy wanted to, uh, travel---
---and he wanted to swimming in the sea.  But he find himself with, uh, have no money - had no money.  So, um, he didn't know - he didn't know how to do it - how to do with it. Uh, then he found - he found a advertisement, which is a staff wanted advertisement. And they find as a man - he find a man and sold - and sold the - the - and sold the - the computer, I guess. Um, and then he received some money, which is enough for him to travel to a beach and swim in the sea.  Finally, he reached his dream.
That's all.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"The boy daydreamed about a sunny beach where he could swim and have fun with friends.

Realizing his wallet was empty, he felt unsure about how to achieve his dream.

Spotting a ""Staff Wanted"" sign, he saw a potential opportunity to earn money.

He applied for the job and began working, learning new skills along the way.

With his efforts rewarded, he finally had enough money to fulfill his wish.

He joyfully spent his day at the beach, swimming and enjoying the sun with friends.",1.6279707276946902,0.746346823125054,0.41530054644808745,0.08839779005524863,0.25136612021857924,0.31693989071038253,0.0,0.5996878147125244,0.592057466506958,0.572811484336853,0.622121274471283
8,2025-10-18T02:05:45,generate_all,gpt-4o,"Okay.    Okay, uh, uh, a few weeks ago, a - a boy wanted to swimming and the - and he found such - he didn't have, uh, enough money. And then he saw a people - a people write here, staff wanted. And - and - and he did this part-time job of seller - a seller, yeah, uh, that, uh, sell computer to customers. And, uh, he earned the enough money to swimming, yeah.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"The young man daydreamed about a joyful day at the beach with friends.

Checking his wallet, he realized there wasn't enough money to make it happen.

His hopes lifted when he noticed a ""Staff Wanted"" sign in a store window.

Excitedly, he applied for the job and started working as a sales assistant.

With hard work, he earned the money he needed.

Finally, he enjoyed the long-awaited beach day, happily splashing in the clear water with his friends.",1.8451847154710261,0.7301279004507709,0.4157303370786517,0.14772727272727273,0.2808988764044944,0.24719101123595505,0.08489597551464947,0.5992996692657471,0.5791279077529907,0.5751237869262695,0.5911194086074829
9,2025-10-18T02:06:21,generate_all,gpt-4o,"Mmm, a few weeks ago, um - um, boy, mm, suddenly - um, suddenly thinking - uh, suddenly thought that, uh, uh, he want - he wanted to, uh, swimming - he want to swim, uh, in the pool, and - but - but he didn't have enough money. Mmm, at that moment, he - uh, he watched the - uh, uh, ad - advertisement, mm, in the, uh, comu - computer - computer company, uh, mm, employ some, mm, employees.  So, mm, he - he - he, mm, mm, determined to go, uh, and try it. Uh, then, uh, that manager, uh, determined to, uh, employ he.  Uh, at last, he, uh, make some money - he made some money and he went to swimming.",Teacher: <caption for frame 1> Teacher: <caption for frame 2> Teacher: <caption for frame 3> Teacher: <caption for frame 4> Teacher: <caption for frame 5> Teacher: <caption for frame 6>,"He daydreamed about enjoying a sunny day at the beach with friends.

He realized his wallet was empty, leaving him feeling a bit disappointed.

Suddenly, he noticed a ""Staff Wanted"" sign that caught his attention.

He eagerly explained his skills to the manager, hoping to get the job.

Excitedly, he received his first paycheck, feeling grateful and relieved.

Finally, he happily joined his friends for a swim, achieving his original goal.",1.6947937626109821,0.7644101612097736,0.3668639053254438,0.08383233532934131,0.24852071005917162,0.27218934911242604,0.0,0.5937843322753906,0.5369241237640381,0.5553337335586548,0.5525082349777222
